Id,Category,Sentence
1130,2,"Viewed as a comedy , a romance , a fairy tale , or a drama , there 's nothing remotely triumphant about this motion picture ."
9591,1,Just another generic drama that has nothing going for it other than its exploitive array of obligatory cheap thrills .
9442,0,"Hampered -- no , paralyzed -- by a self-indulgent script ... that aims for poetry and ends up sounding like satire ."
9559,3,A terrific insider look at the star-making machinery of tinseltown .
9637,1,In this case zero .
10219,1,"Stripped almost entirely of such tools as nudity , profanity and violence , LaBute does manage to make a few points about modern man and his problematic quest for human connection ."
318,4,"With each of her three protagonists , Miller eloquently captures the moment when a woman 's life , out of a deep-seated , emotional need , is about to turn onto a different path ."
10756,0,Bears is even worse than I imagined a movie ever could be .
4526,1,"Too campy to work as straight drama and too violent and sordid to function as comedy , Vulgar is , truly and thankfully , a one-of-a-kind work ."
8164,3,"After one gets the feeling that the typical Hollywood disregard for historical truth and realism is at work here , it 's a matter of finding entertainment in the experiences of Zishe and the fiery presence of Hanussen ."
6033,1,Only about as sexy and dangerous as an actress in a role that reminds at every turn of Elizabeth Berkley 's flopping dolphin-gasm .
1925,1,Upper West Sidey exercise in narcissism and self-congratulation disguised as a tribute .
8481,2,Every child 's story is what matters .
2904,4,"Melds derivative elements into something that is often quite rich and exciting , and always a beauty to behold ."
6284,1,A characteristically engorged and sloppy coming-of-age movie .
2913,4,"A graceful , moving tribute to the courage of New York 's finest and a nicely understated expression of the grief shared by the nation at their sacrifice ."
10412,3,It treats Ana 's journey with honesty that is tragically rare in the depiction of young women in film .
1260,2,"After all the big build-up , the payoff for the audience , as well as the characters , is messy , murky , unsatisfying ."
3356,3,"A captivatingly quirky hybrid of character portrait , romantic comedy and beat-the-clock thriller ."
1143,2,It 's a boom-box of a movie that might have been titled ` The Loud and the Ludicrous ' ... the pandering to a moviegoing audience dominated by young males is all too calculated .
7269,3,"Reminiscent of Alfred Hitchcock 's thrillers , most of the scary parts in ` Signs ' occur while waiting for things to happen ."
6825,3,"Using an endearing cast , writer\/director Dover Kosashvili takes a slightly dark look at relationships , both sexual and kindred ."
7300,3,Two tedious acts light on great scares and a good surprise ending .
4023,2,"The inevitable double - and triple-crosses arise , but the only drama is in waiting to hear how John Malkovich 's reedy consigliere will pronounce his next line ."
3327,1,"Morrissette has performed a difficult task indeed - he 's taken one of the world 's most fascinating stories and made it dull , lifeless , and irritating ."
9888,3,"A moving , if uneven , success ."
7791,2,There are more shots of children smiling for the camera than typical documentary footage which hurts the overall impact of the film .
10949,1,Cloaks a familiar anti-feminist equation -LRB- career - kids = misery -RRB- in tiresome romantic-comedy duds .
5768,1,"Clockstoppers is one of those crazy , mixed-up films that does n't know what it wants to be when it grows up ."
4578,1,Not good enough to pass for a litmus test of the generation gap and not bad enough to repulse any generation of its fans .
2900,2,"Sensitively examines general issues of race and justice among the poor , and specifically raises serious questions about the death penalty and asks what good the execution of a mentally challenged woman could possibly do ."
1763,2,"A passable romantic comedy , in need of another couple of passes through the word processor ."
8395,0,A less-than-thrilling thriller .
241,1,"All movie long , City by the Sea swings from one approach to the other , but in the end , it stays in formula -- which is a waste of De Niro , McDormand and the other good actors in the cast ."
5785,1,"While this film has an ` A ' list cast and some strong supporting players , the tale -- like its central figure , Vivi -- is just a little bit hard to love ."
8653,1,"Why , you may ask , why should you buy the movie milk when the TV cow is free ?"
1345,4,"The unique niche of self-critical , behind-the-scenes navel-gazing Kaufman has carved from Orleans ' story and his own infinite insecurity is a work of outstanding originality ."
10061,1,"In the spirit of the season , I assign one bright shining star to Roberto Benigni 's Pinocchio -- but I guarantee that no wise men will be following after it ."
5188,4,Schnitzler does a fine job contrasting the sleekness of the film 's present with the playful paranoia of the film 's past . '
5406,1,"If there was ever a movie where the upbeat ending feels like a copout , this is the one ."
8001,0,"As the movie dragged on , I thought I heard a mysterious voice , and felt myself powerfully drawn toward the light -- the light of the exit sign ."
1791,1,"can be as tiresome as 9 seconds of Jesse Helms ' anti- Castro rhetoric , which are included"
5577,0,One of those films that started with a great premise and then just fell apart .
6373,2,"Harry Potter and the Chamber of Secrets is deja vu all over again , and while that is a cliche , nothing could be more appropriate ."
10699,4,"Fifty years after the fact , the world 's political situation seems little different , and -LRB- director Phillip -RRB- Noyce brings out the allegory with remarkable skill ."
3,1,"But , like Silence , it 's a movie that gets under your skin ."
10484,2,Some stunning visuals -- and some staggeringly boring cinema .
8491,3,"A college story that works even without vulgarity , sex scenes , and cussing !"
9010,0,"If you value your time and money , find an escape clause and avoid seeing this trite , predictable rehash ."
7779,0,"`` Sorority Boys '' was funnier , and that movie was pretty bad ."
2260,2,"Unspools like a highbrow , low-key , 102-minute infomercial , blending entrepreneurial zeal with the testimony of satisfied customers ."
7441,3,"A terrific date movie , whatever your orientation ."
5825,3,Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .
7986,2,"Because Eight Legged Freaks is partly an homage to Them , Tarantula and other low - budget B-movie thrillers of the 1950s and '60s , the movie is a silly -LRB- but not sophomoric -RRB- romp through horror and hellish conditions ."
5963,3,"In painting an unabashedly romantic picture of a nation whose songs spring directly from the lives of the people , the movie exalts the Marxian dream of honest working folk , with little to show for their labor , living harmoniously , joined in song ."
9356,3,"-LRB- F -RRB- rom the performances and the cinematography to the outstanding soundtrack and unconventional narrative , the film is blazingly alive and admirable on many levels ."
9070,4,"In a summer of clones , Harvard Man is something rare and riveting : a wild ride that relies on more than special effects ."
860,3,The Ring never lets you off the hook .
3852,4,"A stirring tribute to the bravery and dedication of the world 's reporters who willingly walk into the nightmare of war not only to record the events for posterity , but to help us clearly see the world of our making ."
2834,3,The first shocking thing about Sorority Boys is that it 's actually watchable .
10479,3,A movie that sends you out of the theater feeling like you 've actually spent time living in another community .
8247,4,"Steers , in his feature film debut , has created a brilliant motion picture ."
2443,3,"As I settled into my World War II memories , I found myself strangely moved by even the corniest and most hackneyed contrivances ."
6787,3,"Maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is ."
4226,1,Serving Sara should be served an eviction notice at every theater stuck with it .
10134,3,"The film 's sense of imagery gives it a terrible strength , but it 's propelled by the acting ."
4245,3,"While it has definite weaknesses -- like a rather unbelievable love interest and a meandering ending -- this '60s caper film is a riveting , brisk delight ."
2482,1,"If I want a real movie , I 'll buy the Criterion DVD ."
2650,3,"` If you are in the mood for an intelligent weepy , it can easily worm its way into your heart . '"
2285,1,"This Orange has some juice , but it 's far from fresh-squeezed ."
10405,3,"This is one of Mr. Chabrol 's subtlest works , but also one of his most uncanny ."
2492,1,The young stars are too cute ; the story and ensuing complications are too manipulative ; the message is too blatant ; the resolutions are too convenient .
3498,1,Fear Dot Com is more frustrating than a modem that disconnects every 10 seconds .
6737,2,"Make no mistake , ivans xtc ."
7737,1,It all looks and plays like a $ 40 million version of a game you 're more likely to enjoy on a computer .
3569,4,"The leads are natural and lovely , the pace is serene , the humor wry and sprightly ."
6464,1,Just a Kiss is a just a waste .
6635,4,"The ensemble cast turns in a collectively stellar performance , and the writing is tight and truthful , full of funny situations and honest observations ."
2233,4,"Victor Rosa is Leguizamo 's best movie work so far , a subtle and richly internalized performance ."
3340,1,The lousy John Q all but spits out Denzel Washington 's fine performance in the title role .
8146,1,Lurid and less than lucid work .
3203,3,"If the film has a problem , its shortness disappoints : You want the story to go on and on ."
8010,0,It 's always disappointing when a documentary fails to live up to -- or offer any new insight into -- its chosen topic .
2891,1,... a pretentious and ultimately empty examination of a sick and evil woman .
3063,0,You can practically hear George Orwell turning over .
6358,3,What saves this deeply affecting film from being merely a collection of wrenching cases is Corcuera 's attention to detail .
3571,2,"... a ho-hum affair , always watchable yet hardly memorable ."
2566,0,This is a fudged opportunity of gigantic proportions -- a lunar mission with no signs of life .
5131,0,So boring that even its target audience talked all the way through it .
9180,2,Spy-vs .
11524,0,"Nothing sticks , really , except a lingering creepiness one feels from being dragged through a sad , sordid universe of guns , drugs , avarice and damaged dreams ."
4833,1,"The Chateau has one very funny joke and a few other decent ones , but all it amounts to is a mildly funny , sometimes tedious , ultimately insignificant film ."
449,4,A heroic tale of persistence that is sure to win viewers ' hearts .
5822,1,"Swinging , the film makes it seem , is not a hobby that attracts the young and fit ."
5524,3,"The film fits into a genre that has been overexposed , redolent of a thousand cliches , and yet remains uniquely itself , vibrant with originality ."
7462,3,Hashiguchi uses the situation to evoke a Japan bustling atop an undercurrent of loneliness and isolation .
2910,2,"You end up simply admiring this bit or that , this performance or that ."
2738,4,"A strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing Spider-Man ."
500,2,Brady achieves the remarkable feat of squandering a topnotch foursome of actors ... by shoving them into every clichéd white-trash situation imaginable .
10404,1,There 's a great deal of corny dialogue and preposterous moments .
2867,4,Irwin is so earnest that it 's hard to resist his pleas to spare wildlife and respect their environs .
9062,4,The movie is ingenious fun .
5098,2,"If there 's one big point to Promises , it 's that nothing can change while physical and psychological barriers keep the sides from speaking even one word to each other ."
11027,2,"I 'll put it this way : If you 're in the mood for a melodrama narrated by talking fish , this is the movie for you ."
2935,3,"Judging by those standards , ` Scratch ' is a pretty decent little documentary ."
1928,1,"Feels shrill , simple and soapy ."
10396,1,"Puportedly `` Based on True Events , '' a convolution of language that suggests it 's impossible to claim that it is `` Based on a True Story '' with a straight face ."
3764,3,Poignant and funny .
11299,1,"While Solondz tries and tries hard , Storytelling fails to provide much more insight than the inside column of a torn book jacket ."
6897,1,"Like a pack of dynamite sticks , built for controversy ."
2917,3,"The concert footage is stirring , the recording sessions are intriguing , and -- on the way to striking a blow for artistic integrity -- this quality band may pick up new admirers ."
6866,1,Has lost some of the dramatic conviction that underlies the best of comedies ...
11257,4,Give credit to everyone from Robinson down to the key grip that this bold move works .
8506,3,"What one is left with , even after the most awful acts are committed , is an overwhelming sadness that feels as if it has made its way into your very bloodstream ."
4295,1,"Some Body often looks like an episode of the TV show Blind Date , only less technically proficient and without the pop-up comments ."
6078,2,"A canny , derivative , wildly gruesome portrait of a London sociopath who 's the scariest of sadists ."
3219,3,"Constantly touching , surprisingly funny , semi-surrealist exploration of the creative act ."
10665,3,"A quiet , disquieting triumph ."
2812,2,"While certain cues , like the happy music , suggest that this movie is supposed to warm our hearts , Jeong-Hyang Lee 's film is just as likely to blacken that organ with cold vengefulness ."
7670,2,The thing looks like a made-for-home-video quickie .
6837,2,"To work , love stories require the full emotional involvement and support of a viewer ."
5651,0,"-LRB- Creates -RRB- the worst kind of mythologizing , the kind that sacrifices real heroism and abject suffering for melodrama ."
1744,2,"The animation merely serves up a predictable , maudlin story that swipes heavily from Bambi and The Lion King , yet lacks the emotional resonance of either of those movies ."
3626,0,"It 's not a bad premise , just a bad movie ."
536,4,This is a fascinating film because there is no clear-cut hero and no all-out villain .
303,3,A comedy that swings and jostles to the rhythms of life .
3962,2,Does what should seem impossible : it makes serial killer Jeffrey Dahmer boring .
8040,0,A chiller resolutely without chills .
6538,0,"Instead of letting the laughs come as they may , Lawrence unleashes his trademark misogyny -- er , comedy -- like a human volcano or an overflowing septic tank , take your pick ."
5444,1,"Occasionally loud and offensive , but more often , it simply lulls you into a gentle waking coma ."
4719,3,Almost everyone growing up believes their family must look like `` The Addams Family '' to everyone looking in ... `` My Big Fat Greek Wedding '' comes from the heart ...
3936,3,"Bluto Blutarsky , we miss you ."
5174,3,What makes the movie special is its utter sincerity .
2092,2,Secretary is not a movie about fetishism .
2569,2,"Dong shows how intolerance has the power to deform families , then tear them apart ."
8687,4,I had more fun watching Spy than I had with most of the big summer movies .
1417,4,"... a vivid , thoughtful , unapologetically raw coming-of-age tale full of sex , drugs and rock 'n' roll ."
6783,3,"However , it 's pleasant enough and its ecological , pro-wildlife sentiments are certainly welcome ."
6653,4,"Best indie of the year , so far ."
5591,3,"In its dry and forceful way , it delivers the same message as Jiri Menzel 's Closely Watched Trains and Danis Tanovic 's No Man 's Land ."
2102,1,It 's depressing to see how far Herzog has fallen .
602,3,"A sloppy , amusing comedy that proceeds from a stunningly unoriginal premise ."
5889,4,It has that rare quality of being able to creep the living hell out of you ...
1743,2,"This slow-moving Swedish film offers not even a hint of joy , preferring to focus on the humiliation of Martin as he defecates in bed and urinates on the plants at his own birthday party ."
4365,1,"A non-Britney person might survive a screening with little harm done , except maybe for the last 15 minutes , which are as maudlin as any after-school special you can imagine ."
5232,0,An almost unbearably morbid love story .
6218,2,Twist open the Ouzo !
8693,3,"A playful Iranian parable about openness , particularly the need for people of diverse political perspectives to get along despite their ideological differences ."
2020,1,A movie that the less charitable might describe as a castrated cross between Highlander and Lolita .
228,3,A quiet family drama with a little bit of romance and a dose of darkness .
2118,1,"In his role of observer of the scene , Lawrence sounds whiny and defensive , as if his life-altering experiences made him bitter and less mature ."
6311,3,The heat of the moment prevails .
10239,3,"What makes Barbershop so likable , with all its flaws , is that it has none of the pushiness and decibel volume of most contemporary comedies ."
3336,1,The movie is about as deep as that sentiment .
7835,1,I suspect that you 'll be as bored watching Morvern Callar as the characters are in it .
1082,2,"Um , no. ."
5732,2,"This big screen caper has a good bark , far from being a bow-wow ."
2306,3,-LRB- Reaches -RRB- wholly believable and heart-wrenching depths of despair .
2722,1,A disappointment for a movie that should have been the ultimate IMAX trip .
1628,3,But it 's defiantly and delightfully against the grain .
3752,1,This angst-ridden territory was covered earlier and much better in Ordinary People .
2158,0,"A dull , inconsistent , dishonest female bonding picture ."
9904,4,Brings an irresistible blend of warmth and humor and a consistent embracing humanity in the face of life 's harshness .
7013,3,I liked a lot of the smaller scenes .
4976,1,ZigZag might have been richer and more observant if it were less densely plotted .
9507,2,"It 's not a classic spy-action or buddy movie , but it 's entertaining enough and worth a look ."
7236,1,A slow-moving police-procedural thriller that takes its title all too literally .
9440,3,"No , I love it ... hell , I dunno ."
671,1,"Twenty-three movies into a mostly magnificent directorial career , Clint Eastwood 's efficiently minimalist style finally has failed him ."
2669,1,"Throughout all the tumult , a question comes to mind : So why is this so boring ?"
8933,3,Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .
11214,1,"The problem with the mayhem in Formula 51 is not that it 's offensive , but that it 's boring ."
1256,0,Generic thriller junk .
1010,0,Each scene immediately succumbs to gravity and plummets to earth .
1822,1,The corpse count ultimately overrides what little we learn along the way about vicarious redemption .
5507,3,Hoffman 's performance is authentic to the core of his being .
5654,4,Working from a surprisingly sensitive script co-written by Gianni Romoli ... Ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up .
10519,3,A compelling allegory about the last days of Germany 's democratic Weimar Republic .
4259,3,A heartening tale of small victories and enduring hope .
39,4,"The best comedy concert movie I 've seen since Cho 's previous concert comedy film , I 'm the One That I Want , in 2000 ."
6705,4,"Beautifully shot , delicately scored and powered by a set of heartfelt performances , it 's a lyrical endeavour ."
4349,0,"A 94-minute travesty of unparalleled proportions , writer-director Parker seems to go out of his way to turn the legendary wit 's classic mistaken identity farce into brutally labored and unfunny hokum ."
9040,3,"No , it 's not as single-minded as John Carpenter 's original , but it 's sure a lot smarter and more unnerving than the sequels ."
4588,4,Highly engaging .
11203,2,"Except for Paymer as the boss who ultimately expresses empathy for Bartleby 's pain , the performances are so stylized as to be drained of human emotion ."
11132,1,It never rises to its clever what-if concept .
6389,1,"A `` Home Alone '' film that is staged like `` Rosemary 's Baby , '' but is not as well-conceived as either of those films ."
9156,1,"If The Last Man were the last movie left on earth , there would be a toss-up between presiding over the end of cinema as we know it and another night of delightful hand shadows ."
6732,3,"The result is somewhat satisfying -- it still comes from Spielberg , who has never made anything that was n't at least watchable ."
6068,1,"Although Disney follows its standard formula in this animated adventure , it feels more forced than usual ."
5995,3,"And yet , it still works ."
7314,2,Frank McKlusky C.I. is that movie !
1286,0,"Depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it 's being ."
3074,1,Qualities that were once amusing are becoming irritating .
2446,1,The problem with movies about angels is they have a tendency to slip into hokum .
6710,3,"The people in Jessica are so recognizable and true that , as in real life , we 're never sure how things will work out ."
10352,0,It goes on for too long and bogs down in a surfeit of characters and unnecessary subplots .
9796,0,The disjointed mess flows as naturally as Jolie 's hideous yellow ` do .
8974,0,As pedestrian as they come .
11099,1,A prison comedy that never really busts out of its comfy little cell .
11449,3,It will make you think twice about what might be going on inside each trailer park you drive past -- even if it chiefly inspires you to drive a little faster .
7391,2,An overly melodramatic but somewhat insightful French coming-of-age film ...
747,1,"If you 're not a fan , it might be like trying to eat Brussels sprouts ."
560,0,"Despite all the closed-door hanky-panky , the film is essentially juiceless ."
3073,1,There 's nothing remotely topical or sexy here .
223,4,One of the year 's most weirdly engaging and unpredictable character pieces .
1594,1,"Sad nonsense , this ."
5371,1,"` God help us , but Capra and Cooper are rolling over in their graves . '"
4308,3,What sets Ms. Birot 's film apart from others in the genre is a greater attention to the parents -- and particularly the fateful fathers -- in the emotional evolution of the two bewitched adolescents .
155,1,A movie where story is almost an afterthought amidst a swirl of colors and inexplicable events .
5905,3,"You can watch , giggle and get an adrenaline boost without feeling like you 've completely lowered your entertainment standards ."
10524,1,A little more intensity and a little less charm would have saved this film a world of hurt .
10339,2,"The film 's best trick is the way that it treats conspiracy as a kind of political Blair Witch , a monstrous murk that haunts us precisely because it can never be seen ."
10544,2,"Another in a long line of ultra-violent war movies , this one is not quite what it could have been as a film , but the story and theme make up for it ."
9595,2,"-LRB- Garbus -RRB- discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation ."
4129,1,"Too predictably , in fact ."
810,4,"The most brilliant and brutal UK crime film since Jack Carter went back to Newcastle , the first half of Gangster No. 1 drips with style and , at times , blood ."
5460,3,The pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious-minded concerns of other year-end movies .
10550,0,Black-and-white and unrealistic .
8722,1,This 10th film in the series looks and feels tired .
4419,3,is a film -- full of life and small delights -- that has all the wiggling energy of young kitten .
2577,4,A passionately inquisitive film determined to uncover the truth and hopefully inspire action .
8720,3,"This breezy caper movie becomes a soulful , incisive meditation on the way we were , and the way we are ."
3648,0,"Boy , has this franchise ever run out of gas ."
7710,4,"I stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights ."
11045,3,A quiet family drama with a little bit of romance and a dose of darkness .
2945,3,It 's the sweet Cinderella story that `` Pretty Woman '' wanted to be .
21,2,`` Home Movie '' is the film equivalent of a lovingly rendered coffee table book .
8345,2,"There 's a neat twist , subtly rendered , that could have wrapped things up at 80 minutes , but Kang tacks on three or four more endings ."
4328,3,"Though Jackson does n't always succeed in integrating the characters in the foreground into the extraordinarily rich landscape , it must be said that he is an imaginative filmmaker who can see the forest for the trees ."
8182,4,"It 's a head-turner -- thoughtfully written , beautifully read and , finally , deeply humanizing ."
2059,4,Consummate actor Barry has done excellent work here .
7310,3,Everyone should be able to appreciate the wonderful cinematography and naturalistic acting .
2956,2,A brutally honest documentary about a much anticipated family reunion that goes wrong thanks to culture shock and a refusal to empathize with others .
8117,4,A soul-stirring documentary about the Israeli\/Palestinian conflict as revealed through the eyes of some children who remain curious about each other against all odds .
2586,2,"Hardly a nuanced portrait of a young woman 's breakdown , the film nevertheless works up a few scares ."
4218,1,The film is way too full of itself ; it 's stuffy and pretentious in a give-me-an-Oscar kind of way .
4996,3,"The Importance of Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations"
7323,0,"Confusion is one of my least favourite emotions , especially when I have to put up with 146 minutes of it ."
3517,2,"If Signs is a good film , and it is , the essence of a great one is in there somewhere ."
865,4,LaBute 's careful handling makes the material seem genuine rather than pandering .
355,3,A surprisingly ` solid ' achievement by director Malcolm D. Lee and writer John Ridley .
3446,2,"While the mystery unravels , the characters respond by hitting on each other ."
7961,3,"For almost the first two-thirds of Martin Scorsese 's 168-minute Gangs of New York , I was entranced ."
5241,1,"The film is grossly contradictory in conveying its social message , if indeed there is one ."
4633,2,Less-than-compelling documentary of a Yiddish theater clan .
4638,3,Baby-faced Renner is eerily convincing as this bland blank of a man with unimaginable demons within .
4801,1,Looks and feels like a low-budget hybrid of Scarface or Carlito 's Way .
1234,3,An entertaining documentary that freshly considers arguments the Bard 's immortal plays were written by somebody else .
7590,4,"The AAA of action , XXX is a blast of adrenalin , rated EEE for excitement ."
6193,2,Maybe Thomas Wolfe was right : You ca n't go home again .
4661,2,Rodriguez ... was unable to reproduce the special spark between the characters that made the first film such a delight .
1280,2,This rough trade Punch-and-Judy act did n't play well then and it plays worse now .
7603,2,Frank McKlusky C.I. is that movie !
5475,2,"While Holm is terrific as both men and Hjejle quite appealing , the film fails to make the most out of the intriguing premise ."
6156,2,"The origin story is well told , and the characters will not disappoint anyone who values the original comic books ."
7426,1,"The movie is like a year late for tapping into our reality tv obsession , and even tardier for exploiting the novelty of the `` webcast . ''"
10276,3,"If it 's unnerving suspense you 're after -- you 'll find it with Ring , an indisputably spooky film ; with a screenplay to die for ."
9548,4,"The production design , score and choreography are simply intoxicating ."
4288,2,It 's likely that whatever you thought of the first production -- pro or con -- you 'll likely think of this one .
7038,0,Starts as an intense political and psychological thriller but is sabotaged by ticking time bombs and other Hollywood-action cliches .
10475,1,A movie that 's held captive by mediocrity .
3298,0,"Aloof and lacks any real raw emotion , which is fatal for a film that relies on personal relationships ."
9797,1,"Well , Jason 's gone to Manhattan and Hell , I guess a space station in the year 2455 can be crossed off the list of ideas for the inevitable future sequels -LRB- hey , do n't shoot the messenger -RRB- ."
10629,1,They threw loads of money at an idea that should 've been so much more even if it was only made for teenage boys and wrestling fans .
3317,3,"For those in search of something different , Wendigo is a genuinely bone-chilling tale ."
9948,4,"With the same sort of good-natured fun found in films like Tremors , Eight Legged Freaks is prime escapist fare ."
4501,3,"-LRB- D -RRB- espite its familiar subject matter , Ice Age is consistently amusing and engrossing ..."
6934,1,"Despite its Hawaiian setting , the science-fiction trimmings and some moments of rowdy slapstick , the basic plot of `` Lilo '' could have been pulled from a tear-stained vintage Shirley Temple script ."
6215,0,"Sorority Boys , which is as bad at it is cruel , takes every potential laugh and stiletto-stomps the life out of it ."
2732,2,Yet another weepy Southern bore-athon .
7954,3,A lot smarter than your average Bond .
978,3,... there is enough originality in ` Life ' to distance it from the pack of paint-by-number romantic comedies that so often end up on cinema screens .
6748,3,Gondry 's direction is adequate ... but what gives Human Nature its unique feel is Kaufman 's script .
210,4,"As an actress , Madonna is one helluva singer ."
10505,1,"This is a remake by the numbers , linking a halfwit plot to a series of standup routines in which Wilson and Murphy show how funny they could have been in a more ambitious movie ."
5897,3,"The stars may be college kids , but the subject matter is as adult as you can get : the temptations of the flesh are unleashed by a slightly crazed , overtly determined young woman and a one-night swim turns into an ocean of trouble ."
3278,1,Nothing more than a widget cranked out on an assembly line to see if stupid Americans will get a kick out of goofy Brits with cute accents performing ages-old slapstick and unfunny tricks .
10281,1,"With nary a glimmer of self-knowledge , -LRB- Crane -RRB- becomes more specimen than character -- and Auto Focus remains a chilly , clinical lab report ."
440,1,"It forces you to watch people doing unpleasant things to each other and themselves , and it maintains a cool distance from its material that is deliberately unsettling ."
2614,1,Just too silly and sophomoric to ensnare its target audience .
5425,3,"As broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism ."
8663,0,"For the future , one hopes Mr. Plympton will find room for one more member of his little band , a professional screenwriter ."
2951,3,"Though the aboriginal aspect lends the ending an extraordinary poignancy , and the story itself could be played out in any working class community in the nation ."
3642,2,Or both .
6334,3,You 'll end up moved .
9317,2,Has its charming quirks and its dull spots .
5375,3,Poignant Japanese epic about adolescent anomie and heartbreak .
9287,4,An odd drama set in the world of lingerie models and bar dancers in the Midwest that held my interest precisely because it did n't try to .
8963,2,"It 's actually pretty funny , but in all the wrong places ."
577,2,"The animation is competent , and some of the gags are quite funny , but Jonah ... never shakes the oppressive , morally superior good-for-you quality that almost automatically accompanies didactic entertainment ."
10185,2,The film will appeal to Discovery Channel fans and will surely widen the perspective of those of us who see the continent through rose-colored glasses .
701,4,An enjoyable comedy of lingual and cultural differences ... The Château is a film -- full of life and small delights -- that has all the wiggling energy of young kitten .
6316,2,The most anti-human big studio picture since 3000 Miles to Graceland .
900,4,"It is a happy , heady jumble of thought and storytelling , an insane comic undertaking that ultimately coheres into a sane and breathtakingly creative film ."
7018,0,"But if the essence of magic is its make-believe promise of life that soars above the material realm , this is the opposite of a truly magical movie ."
4912,2,The Fast Runner ' transports the viewer into an unusual space
1013,2,The symbols float like butterflies and the spinning styx sting like bees .
9388,1,"At every opportunity to do something clever , the film goes right over the edge and kills every sense of believability ... all you have left is a no-surprise series of explosions and violence while Banderas looks like he 's not trying to laugh at how bad it"
393,1,Ultimately this is a frustrating patchwork : an uneasy marriage of Louis Begley 's source novel -LRB- About Schmidt -RRB- and an old Payne screenplay .
3324,0,Most of the storylines feel like time fillers between surf shots .
6885,3,"A solidly constructed , entertaining thriller that stops short of true inspiration ."
1731,4,"One of the most original American productions this year , you 'll find yourself remembering this refreshing visit to a Sunshine State ."
6442,4,A movie of technical skill and rare depth of intellect and feeling .
3807,1,"The screenplay , co-written by director Imogen Kimmel , lacks the wit necessary to fully exploit the comic elements of the premise , making the proceedings more bizarre than actually amusing ."
11478,0,"Evelyn may be based on a true and historically significant story , but the filmmakers have made every effort to disguise it as an unimaginative screenwriter 's invention ."
5857,1,The script by Vincent R. Nebrida ... tries to cram too many ingredients into one small pot .
11538,3,It also shows how deeply felt emotions can draw people together across the walls that might otherwise separate them .
6681,4,"With this masterful , flawless film , -LRB- Wang -RRB- emerges in the front ranks of China 's now numerous , world-renowned filmmakers ."
